#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.455500e+04    +1.128209e-02
   2.455592e+04    +1.778602e-02
   2.455698e+04    +1.394067e-02
   2.455792e+04    +1.480880e-02
   2.455892e+04    +1.277786e-02
   2.455992e+04    +9.084382e-03
   2.456092e+04    +1.244188e-02
   2.456187e+04    +5.171459e-03
   2.456282e+04    +1.088340e-02
   2.456383e+04    +1.771710e-03
   2.456488e+04    -1.672054e-03
   2.456575e+04    +2.081783e-03
   2.456679e+04    +2.326997e-03
   2.456783e+04    -5.112576e-04
   2.456872e+04    -1.808933e-04
   2.456970e+04    -5.678557e-03
   2.457066e+04    -1.189772e-02
   2.457170e+04    -7.924990e-03
   2.457262e+04    -1.021100e-02
   2.457357e+04    -1.409615e-02
   2.457460e+04    -9.985384e-03
   2.457558e+04    -1.975564e-02
   2.457654e+04    -1.513155e-02
   2.457751e+04    -1.918794e-02
   2.457853e+04    -2.037473e-02
   2.457943e+04    -1.509727e-02
   2.458044e+04    -1.766016e-02
   2.458143e+04    -1.607141e-02
   2.458244e+04    -1.748659e-02
   2.458342e+04    -2.183987e-02
   2.458435e+04    -1.629191e-02
   2.458528e+04    -2.245099e-02
   2.458630e+04    -1.573031e-02
   2.458725e+04    -1.336618e-02
   2.458819e+04    -1.262284e-02
   2.458925e+04    -1.076273e-02
   2.459019e+04    -1.111647e-02
   2.459118e+04    -1.194953e-02
   2.459218e+04    -1.291573e-02
   2.459317e+04    -1.242610e-02
   2.459415e+04    -6.993418e-03
   2.459515e+04    -3.620294e-03
   2.459612e+04    -4.627564e-03
   2.459709e+04    -5.549448e-03
   2.459810e+04    -5.433388e-03
   2.459901e+04    +3.074470e-03
   2.460002e+04    -6.385263e-03
   2.460100e+04    +2.203802e-03
   2.460196e+04    +3.329374e-04
   2.460298e+04    +6.423092e-03
   2.460397e+04    +5.818427e-03
   2.460490e+04    +5.900165e-03
   2.460589e+04    +5.726304e-03
   2.460682e+04    +1.101192e-02
   2.460781e+04    +6.960447e-03
   2.460878e+04    +1.527639e-02
   2.460972e+04    +1.464610e-02
   2.461069e+04    +1.509928e-02
   2.461165e+04    +1.048900e-02
   2.461260e+04    +1.067015e-02
   2.461360e+04    +1.260225e-02
   2.461461e+04    +1.743649e-02
   2.461562e+04    +6.392764e-03
   2.461659e+04    +1.722062e-02
   2.461751e+04    +1.361858e-02
   2.461853e+04    +1.334643e-02
   2.461948e+04    +1.069365e-02
   2.462043e+04    +1.637802e-02
   2.462146e+04    +1.516915e-02
   2.462242e+04    +1.235934e-02
   2.462344e+04    +1.499530e-02
   2.462444e+04    +1.256210e-02
   2.462537e+04    +1.012475e-02
   2.462635e+04    +9.918361e-03
