#L E_Pd_01_0001    x_Pd_01_0001    E_Pd_01_0002    x_Pd_01_0002    E_Pd_01_0003    x_Pd_01_0003    E_Pd_01_0004    x_Pd_01_0004    E_Pd_01_0005    x_Pd_01_0005
   2.428406e+04    +1.776946e-03   2.428403e+04    +2.369256e-03   2.428411e+04    +3.411346e-03   2.428398e+04    +2.634575e-03   2.428403e+04    +1.687926e-03
   2.428500e+04    +2.171441e-03   2.428503e+04    +2.139275e-03   2.428511e+04    +2.660886e-03   2.428490e+04    +2.699112e-03   2.428500e+04    +3.004177e-03
   2.428596e+04    +2.191619e-03   2.428592e+04    +3.060613e-03   2.428603e+04    +1.529423e-03   2.428588e+04    +2.942280e-03   2.428594e+04    +1.952986e-03
   2.428697e+04    +2.218568e-03   2.428692e+04    +2.029913e-03   2.428697e+04    +2.184482e-03   2.428688e+04    +2.398416e-03   2.428696e+04    +1.209463e-03
   2.428792e+04    +1.634020e-03   2.428788e+04    +2.156801e-03   2.428793e+04    +1.772876e-03   2.428780e+04    +2.090539e-03   2.428783e+04    +1.890359e-03
   2.428880e+04    +2.102520e-03   2.428876e+04    +3.265237e-03   2.428891e+04    +2.864984e-03   2.428872e+04    +3.646127e-03   2.428880e+04    +2.255304e-03
   2.428972e+04    +3.066777e-03   2.428975e+04    +3.098610e-03   2.428980e+04    +3.057156e-03   2.428967e+04    +2.796788e-03   2.428977e+04    +2.520084e-03
   2.429069e+04    +3.420825e-03   2.429071e+04    +2.102049e-03   2.429075e+04    +4.093815e-03   2.429066e+04    +2.489198e-03   2.429070e+04    +2.716526e-03
   2.429164e+04    +2.931578e-03   2.429166e+04    +3.736530e-03   2.429174e+04    +2.698410e-03   2.429151e+04    +3.786417e-03   2.429166e+04    +3.540351e-03
   2.429259e+04    +3.474875e-03   2.429260e+04    +3.024146e-03   2.429271e+04    +2.778294e-03   2.429253e+04    +3.178316e-03   2.429261e+04    +2.578581e-03
   2.429356e+04    +4.576593e-03   2.429352e+04    +2.961027e-03   2.429359e+04    +3.968150e-03   2.429344e+04    +4.484171e-03   2.429355e+04    +3.242192e-03
   2.429448e+04    +3.454747e-03   2.429448e+04    +3.061809e-03   2.429463e+04    +3.577557e-03   2.429440e+04    +4.000664e-03   2.429447e+04    +3.366666e-03
   2.429545e+04    +3.417623e-03   2.429543e+04    +5.302584e-03   2.429553e+04    +3.865185e-03   2.429535e+04    +4.107129e-03   2.429544e+04    +3.250351e-03
   2.429638e+04    +4.550297e-03   2.429631e+04    +4.576351e-03   2.429649e+04    +3.864998e-03   2.429625e+04    +3.679369e-03   2.429636e+04    +2.640805e-03
   2.429731e+04    +4.925513e-03   2.429731e+04    +5.060179e-03   2.429738e+04    +4.043529e-03   2.429720e+04    +3.094705e-03   2.429734e+04    +3.605874e-03
   2.429821e+04    +3.463122e-03   2.429820e+04    +3.781364e-03   2.429837e+04    +4.786634e-03   2.429813e+04    +4.284772e-03   2.429825e+04    +4.717727e-03
   2.429923e+04    +5.240272e-03   2.429914e+04    +5.373372e-03   2.429931e+04    +5.233718e-03   2.429907e+04    +4.359028e-03   2.429918e+04    +4.445411e-03
   2.430013e+04    +5.895564e-03   2.430015e+04    +4.472628e-03   2.430022e+04    +4.780712e-03   2.430008e+04    +4.495470e-03   2.430007e+04    +5.157726e-03
   2.430105e+04    +5.539120e-03   2.430109e+04    +5.408794e-03   2.430123e+04    +6.416281e-03   2.430103e+04    +6.164430e-03   2.430108e+04    +4.467536e-03
   2.430207e+04    +5.539361e-03   2.430205e+04    +6.552241e-03   2.430216e+04    +6.758885e-03   2.430193e+04    +5.214809e-03   2.430202e+04    +5.740447e-03
   2.430295e+04    +6.517609e-03   2.430296e+04    +5.156284e-03   2.430309e+04    +6.290977e-03   2.430286e+04    +6.279250e-03   2.430300e+04    +5.493762e-03
   2.430393e+04    +6.449633e-03   2.430387e+04    +5.168122e-03   2.430402e+04    +6.994240e-03   2.430381e+04    +5.961242e-03   2.430389e+04    +5.463668e-03
   2.430487e+04    +6.814397e-03   2.430478e+04    +7.531801e-03   2.430494e+04    +7.254434e-03   2.430475e+04    +6.873904e-03   2.430486e+04    +7.057882e-03
   2.430584e+04    +7.613926e-03   2.430578e+04    +7.281559e-03   2.430591e+04    +7.011499e-03   2.430576e+04    +6.933535e-03   2.430582e+04    +6.088999e-03
   2.430680e+04    +8.907277e-03   2.430680e+04    +7.296831e-03   2.430687e+04    +7.344538e-03   2.430668e+04    +7.312176e-03   2.430676e+04    +6.775371e-03
   2.430781e+04    +6.495560e-03   2.430767e+04    +8.397760e-03   2.430779e+04    +7.854815e-03   2.430766e+04    +6.944898e-03   2.430772e+04    +7.785124e-03
   2.430864e+04    +7.623869e-03   2.430865e+04    +8.098811e-03   2.430884e+04    +9.177803e-03   2.430857e+04    +7.625864e-03   2.430869e+04    +6.040792e-03
   2.430964e+04    +8.402163e-03   2.430962e+04    +8.769132e-03   2.430966e+04    +7.571720e-03   2.430956e+04    +8.713522e-03   2.430963e+04    +8.146957e-03
   2.431055e+04    +8.288378e-03   2.431057e+04    +8.778423e-03   2.431066e+04    +8.860964e-03   2.431049e+04    +9.419476e-03   2.431050e+04    +8.659639e-03
   2.431147e+04    +1.014696e-02   2.431148e+04    +9.268799e-03   2.431159e+04    +1.023772e-02   2.431140e+04    +9.240624e-03   2.431147e+04    +8.107047e-03
   2.431241e+04    +9.469998e-03   2.431240e+04    +1.089565e-02   2.431257e+04    +1.108783e-02   2.431238e+04    +1.022095e-02   2.431245e+04    +8.333592e-03
   2.431339e+04    +1.116167e-02   2.431333e+04    +1.066906e-02   2.431347e+04    +9.863335e-03   2.431329e+04    +9.989086e-03   2.431340e+04    +9.619927e-03
   2.431430e+04    +1.098413e-02   2.431429e+04    +1.075465e-02   2.431441e+04    +1.166590e-02   2.431425e+04    +1.025313e-02   2.431434e+04    +1.053577e-02
   2.431529e+04    +1.109015e-02   2.431521e+04    +1.196959e-02   2.431532e+04    +1.154343e-02   2.431518e+04    +1.234110e-02   2.431524e+04    +1.153198e-02
   2.431624e+04    +1.236121e-02   2.431621e+04    +1.335797e-02   2.431626e+04    +1.198352e-02   2.431608e+04    +1.113769e-02   2.431624e+04    +1.142303e-02
   2.431714e+04    +1.245196e-02   2.431714e+04    +1.322592e-02   2.431719e+04    +1.308199e-02   2.431699e+04    +1.226520e-02   2.431712e+04    +1.270057e-02
   2.431815e+04    +1.281769e-02   2.431809e+04    +1.332661e-02   2.431816e+04    +1.418720e-02   2.431800e+04    +1.235386e-02   2.431808e+04    +1.296334e-02
   2.431903e+04    +1.412374e-02   2.431904e+04    +1.508526e-02   2.431912e+04    +1.445046e-02   2.431894e+04    +1.300256e-02   2.431903e+04    +1.252266e-02
   2.432000e+04    +1.467183e-02   2.431997e+04    +1.607450e-02   2.432007e+04    +1.357612e-02   2.431989e+04    +1.489537e-02   2.431991e+04    +1.454655e-02
   2.432090e+04    +1.571474e-02   2.432087e+04    +1.486636e-02   2.432099e+04    +1.596692e-02   2.432088e+04    +1.564692e-02   2.432093e+04    +1.544323e-02
   2.432181e+04    +1.566501e-02   2.432184e+04    +1.622062e-02   2.432189e+04    +1.779038e-02   2.432175e+04    +1.699867e-02   2.432183e+04    +1.685974e-02
   2.432279e+04    +1.646870e-02   2.432285e+04    +1.781493e-02   2.432293e+04    +1.659875e-02   2.432276e+04    +1.756197e-02   2.432279e+04    +1.740590e-02
   2.432380e+04    +2.023305e-02   2.432384e+04    +1.872108e-02   2.432382e+04    +1.790206e-02   2.432370e+04    +1.866612e-02   2.432384e+04    +1.741414e-02
